time,pitch
0.0,-0.3196
0.05,-0.3196
0.1,-0.3196
0.15,-0.3196
0.2,-0.3196
0.25,-0.3196
0.3,-0.3196
0.35,-0.3196
0.4,-0.3196
0.45,-0.3196
0.5,-0.3196
0.55,-0.3196
0.6,-0.3196
0.65,-0.3196
0.7,-0.3196
0.75,-0.3196
0.8,-0.3196
0.85,-0.3196
0.9,-0.3196
0.95,-0.3196
1.0,-0.3196
1.05,-0.3196
1.1,-0.3196
1.15,-0.3196
1.2,-0.3196
1.25,-0.3196
1.3,-0.3196
1.35,-0.3196
1.4,-0.3196
1.45,-0.3196
1.5,-0.3196
1.55,-0.3196
1.6,-0.3196
1.65,-0.3196
1.7,-0.3196
1.75,-0.3196
1.8,-0.3196
1.85,-0.3196
1.9,-0.3196
1.95,-0.3196
2.0,-0.3196
2.05,-0.3196
2.1,-0.3196
2.15,-0.3196
2.2,-0.3196
2.25,-0.3196
2.3,-0.3196
2.35,-0.3196
2.4,-0.3196
2.45,-0.3196
2.5,-0.3196
2.55,-0.3196
2.6,-0.3196
2.65,-0.3196
2.7,-0.3196
2.75,-0.3196
2.8,-0.3196
2.85,-0.3196
2.9,-0.3196
2.95,-0.3196
3.0,-0.3196
3.05,-0.3196
3.1,-0.3196
3.15,-0.3196
3.2,-0.3196
3.25,-0.3196
3.3,-0.3196
3.35,-0.3196
3.4,-0.3196
3.45,-0.3196
3.5,-0.3196
3.55,-0.3196
3.6,-0.3196
3.65,-0.3196
3.7,-0.3196
3.75,-0.3196
3.8,-0.3196
3.85,-0.3196
3.9,-0.3196
3.95,-0.3196
4.0,-0.3196
4.05,-0.3196
4.1,-0.3196
4.15,-0.3196
4.2,-0.3196
4.25,-0.3196
4.3,-0.3196
4.35,-0.3196
4.4,-0.3196
4.45,-0.3196
4.5,-0.3196
4.55,-0.3196
4.6,-0.3196
4.65,-0.3196
4.7,-0.3196
4.75,-0.3196
4.8,-0.3196
4.85,-0.3196
4.9,-0.3196
4.95,-0.3196
5.0,-0.3196
5.05,-0.3196
5.1,-0.3196
5.15,-0.3196
5.2,-0.3196
5.25,-0.3196
5.3,-0.3196
5.35,-0.3196
5.4,-0.3196
5.45,-0.3196
5.5,-0.3196
5.55,-0.3196
5.6,-0.3196
5.65,-0.3196
5.7,-0.3196
5.75,-0.3196
5.8,-0.3196
5.85,-0.3196
5.9,-0.3196
5.95,-0.3196
6.0,-0.3196
6.05,-0.3196
6.1,-0.3196
6.15,-0.3196
6.2,-0.3196
6.25,-0.3196
6.3,-0.3196
6.35,-0.3196
6.4,-0.3196
6.45,-0.3196
6.5,-0.3196
6.55,-0.3196
6.6,-0.3196
6.65,-0.3196
6.7,-0.3196
6.75,-0.3196
6.8,-0.3196
6.85,-0.3196
6.9,-0.3196
6.95,-0.3196
7.0,-0.3196
7.05,-0.3196
7.1,-0.3196
7.15,-0.3196
7.2,-0.3196
7.25,-0.3196
7.3,-0.3196
7.35,-0.3196
7.4,-0.3196
7.45,-0.3196
7.5,-0.3196
7.55,-0.3196
7.6,-0.3196
7.65,-0.3196
7.7,-0.3196
7.75,-0.3196
7.8,-0.3196
7.85,-0.3196
7.9,-0.3196
7.95,-0.3196
8.0,-0.3196
8.05,-0.3196
8.1,-0.3196
8.15,-0.3196
8.2,-0.3196
8.25,-0.3196
8.3,-0.3196
8.35,-0.3196
8.4,-0.3196
8.45,-0.3196
8.5,-0.3196
8.55,-0.3196
8.6,-0.3196
8.65,-0.3196
8.7,-0.3196
8.75,-0.3196
8.8,-0.3196
8.85,-0.3196
8.9,-0.3196
8.95,-0.3196
9.0,-0.3196
9.05,-0.3196
9.1,-0.3196
9.15,-0.3196
9.2,-0.3196
9.25,-0.3196
9.3,-0.3196
9.35,-0.3196
9.4,-0.3196
9.45,-0.3196
9.5,-0.3196
9.55,-0.3196
9.6,-0.3196
9.65,-0.3196
9.7,-0.3196
9.75,-0.3196
9.8,-0.3196
9.85,-0.3196
9.9,-0.3196
9.95,-0.3196
10.0,-0.3196
10.05,-0.3196
10.1,-0.3196
10.15,-0.3196
10.2,-0.3196
10.25,-0.3196
10.3,-0.3196
10.35,-0.3196
10.4,-0.3196
10.45,-0.3196
10.5,-0.3196
10.55,-0.3196
10.6,-0.3196
10.65,-0.3196
10.7,-0.3196
10.75,-0.3196
10.8,-0.3196
10.85,-0.3196
10.9,-0.3196
10.95,-0.3196
11.0,-0.3196
11.05,-0.3196
11.1,-0.3196
11.15,-0.3196
11.2,-0.3196
11.25,-0.3196
11.3,-0.3196
11.35,-0.3196
