time,pitch
0.0,0.0
0.1,7.2
0.2,14.4
0.30000000000000004,21.6
0.4,28.8
0.5,36.0
0.6000000000000001,43.2
0.7000000000000001,50.400000000000006
0.8,57.6
0.9,64.8
1.0,72.0
1.1,79.2
1.2000000000000002,86.4
1.3,93.60000000000001
1.4000000000000001,100.80000000000001
1.5,108.00000000000001
1.6,115.2
1.7000000000000002,122.40000000000002
1.8,129.6
1.9000000000000001,136.8
2.0,144.0
2.1,151.20000000000002
2.2,158.4
2.3000000000000003,165.6
2.4000000000000004,172.8
2.5,180.00000000000003
2.6,187.20000000000002
2.7,194.4
2.8000000000000003,201.60000000000002
2.9000000000000004,208.8
3.0,216.00000000000003
3.1,223.20000000000002
3.2,230.4
3.3000000000000003,237.60000000000002
3.4000000000000004,244.80000000000004
3.5,252.0
3.6,259.2
3.7,266.40000000000003
3.8000000000000003,273.6
3.9000000000000004,280.8
4.0,288.0
4.1000000000000005,295.2
4.2,302.40000000000003
4.3,309.6
4.4,316.8
4.5,324.00000000000006
4.6000000000000005,331.2
4.7,338.40000000000003
4.800000000000001,345.6
4.9,352.8
5.0,360.00000000000006
5.1000000000000005,367.2
5.2,374.40000000000003
5.300000000000001,381.6
5.4,388.8
5.5,396.00000000000006
5.6000000000000005,403.20000000000005
5.7,410.40000000000003
5.800000000000001,417.6
5.9,424.8
6.0,432.00000000000006
6.1000000000000005,439.20000000000005
6.2,446.40000000000003
6.300000000000001,453.6
6.4,460.8
6.5,468.0
6.6000000000000005,475.20000000000005
6.7,482.40000000000003
6.800000000000001,489.6000000000001
6.9,496.8
7.0,504.0
7.1000000000000005,511.20000000000005
7.2,518.4
7.300000000000001,525.6
7.4,532.8000000000001
7.5,540.0
7.6000000000000005,547.2
7.7,554.4
7.800000000000001,561.6
7.9,568.8000000000001
8.0,576.0
8.1,583.2
8.200000000000001,590.4
8.3,597.6
8.4,604.8000000000001
8.5,612.0000000000001
8.6,619.2
8.700000000000001,626.4
8.8,633.6
8.9,640.8000000000001
9.0,648.0000000000001
9.1,655.2
9.200000000000001,662.4
9.3,669.6
9.4,676.8000000000001
9.5,684.0000000000001
9.600000000000001,691.2
9.700000000000001,698.4
9.8,705.6
9.9,712.8000000000001
10.0,720.0
